product_name,category,price,packaging_type,recyclable,organic,durability,carbon_impact,eco_score,eco_category
Plastic Water Bottle,Beverages,19,plastic,no,no,high,high,25,Low
Steel Water Bottle,Beverages,194,metal,yes,no,high,high,90,High
Paper Bag,Shopping,36,paper,yes,no,medium,high,75,Medium
Cloth Bag,Shopping,62,cloth,yes,no,high,high,95,High
Plastic Toothbrush,Personal Care,33,plastic,no,no,high,low,20,Low
Bamboo Toothbrush,Personal Care,82,paper,yes,yes,low,medium,85,High
Organic Vegetables,Grocery,165,no_packaging,yes,yes,medium,high,88,High
Packaged Snacks,Grocery,80,plastic,no,no,low,high,30,Low
Glass Storage Container,Household,308,glass,yes,no,high,medium,92,High
Chemical Cleaner,Household,144,plastic,no,no,high,medium,35,Low
Eco-friendly Cleaner,Household,203,plastic,yes,yes,medium,medium,80,Medium
Fast Fashion T-shirt,Clothing,518,plastic,no,no,medium,medium,40,Low
Organic Cotton T-shirt,Clothing,925,paper,yes,yes,low,medium,85,High
Plastic Straw,Accessories,1,plastic,no,no,medium,medium,10,Low
Steel Straw,Accessories,112,metal,yes,no,medium,medium,90,High
Disposable Plates,Kitchen,87,plastic,no,no,medium,medium,30,Low
Reusable Plates,Kitchen,244,metal,yes,no,high,low,88,High
Milk (Regular),Grocery,62,plastic,no,no,high,high,50,Medium
Milk (Organic),Grocery,106,glass,yes,yes,high,medium,85,High
Laundry Detergent,Household,187,plastic,no,no,medium,medium,40,Low
Plant-based Detergent,Household,319,plastic,yes,yes,high,low,80,Medium
Plastic Water Bottle,Beverages,28,plastic,no,no,medium,medium,25,Low
Steel Water Bottle,Beverages,214,metal,yes,no,high,medium,90,High
Paper Bag,Shopping,1,paper,yes,no,low,low,75,Medium
Cloth Bag,Shopping,63,cloth,yes,no,medium,high,95,High
Plastic Toothbrush,Personal Care,26,plastic,no,no,high,medium,20,Low
Bamboo Toothbrush,Personal Care,97,paper,yes,yes,medium,medium,85,High
Organic Vegetables,Grocery,149,no_packaging,yes,yes,low,medium,88,High
Packaged Snacks,Grocery,39,plastic,no,no,medium,low,30,Low
Glass Storage Container,Household,305,glass,yes,no,medium,medium,92,High
Chemical Cleaner,Household,131,plastic,no,no,medium,high,35,Low
Eco-friendly Cleaner,Household,199,plastic,yes,yes,medium,medium,80,Medium
Fast Fashion T-shirt,Clothing,529,plastic,no,no,high,low,40,Low
